# File last updated on: 23 August 2023
# File prepared by: Louise Delaigue (Royal Netherlands Institute for Sea Research)
# For questions please send a message to:  louise.delaigue@nioz.nl or matthew.humphreys@nioz.nl
# EXPOCODE: 06S220220218
# Chief Scientist: Prof. Dr. Eric P. Achterberg (GEOMAR)
# Region: South Pacific Ocean (GEOTRACES GP21)
# SHIP: R/V Sonne
# Cruise:  SO289
# Shipboard contact: sonne@sonne.briese-research.de
# Notes: code for processing SO289 data can be found at doi
# DIC: Who - L. Delaigue; Status -  Final
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a VINDTA 3C (#017 Marianda Germany) and Dickson's CRMs (batches #189 #195 #198)
# TA: Who - L. Delaigue; Status -  Final	
# Notes:  analysed at the Royal Netherlands Institute for Sea Resarch using a VINDTA 3C (#017 Marianda Germany) and Dickson's CRMs (batch #189 #195 #198)
#  
EXPOCODE,Cruise_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,TA,TA_flag,DIC,DIC_flag
06S220220218,SO289,2022,3,23,23:50:00,-26.219444444444445,-152.00027777777777,3,26.8346,35.1787,2301.071169382168,2,1994.9276392010472,2
06S220220218,SO289,2022,3,24,00:00:00,-26.219166666666666,-152.26027777777776,3,26.8402,35.1804,2295.0956278032754,2,2000.584199991473,2
06S220220218,SO289,2022,3,25,05:25:00,-26.193611111111114,-156.24388888888888,3,26.1489,34.8585,2281.21494417234,3,2027.5115634125373,3
06S220220218,SO289,2022,3,25,20:30:00,-26.204722222222223,-158.67166666666665,3,26.2897,35.0876,2290.079845382449,2,1994.0871537373127,2
06S220220218,SO289,2022,3,26,07:08:00,-26.221944444444446,-160.26,3,26.8304,34.946,2282.5663323356875,2,-999.0,2
06S220220218,SO289,2022,3,26,23:01:00,-26.223333333333336,-163.47972222222222,3,25.8418,35.0254,2289.483438279237,2,1999.4488955724653,2
06S220220218,SO289,2022,3,28,12:00:00,-26.222222222222225,-168.00944444444445,3,26.2313,34.8246,2277.4559641342985,2,1980.2285339922832,2
06S220220218,SO289,2022,3,28,21:45:00,-26.22361111111111,-169.41666666666666,3,25.978,34.9869,2283.7340158246384,2,1992.5777003635192,2
06S220220218,SO289,2022,3,29,13:20:00,-26.228611111111114,-172.26055555555556,3,26.0051,35.0704,2292.427082871201,2,1986.7943032292008,2
06S220220218,SO289,2022,3,29,18:30:00,-26.220000000000002,-172.23666666666668,3,25.9792,35.0955,2302.528023286622,3,1965.973366055537,3
06S220220218,SO289,2022,3,30,05:40:00,-26.178333333333335,-174.90527777777777,3,26.314,34.9385,2296.0765811493643,2,1994.991604610332,2
06S220220218,SO289,2022,3,31,21:30:00,-25.74083333333333,-178.94805555555556,3,25.6764,35.4872,2316.3526285735184,2,2023.246299336936,2
06S220220218,SO289,2022,4,1,13:30:00,-25.7425,179.25694444444443,3,26.041,35.0234,2289.420763056799,2,-999.0,2
06S220220218,SO289,2022,4,1,23:00:00,-25.74722222222222,179.00166666666667,3,26.2733,35.0483,2291.187933708577,2,-999.0,2
06S220220218,SO289,2022,4,2,20:50:00,-25.744722222222222,175.50027777777777,3,25.7628,35.1948,1934.06784948769,2,-999.0,2
